DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CY,2011,54.8,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CY,2012,50.7,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CY,2013,49.6,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CY,2014,46.9,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CY,2015,48.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CY,2016,52.2,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CY,2017,55.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CY,2018,60.9,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CY,2019,61.1,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CY,2020,61.0,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CZ,2009,46.8,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CZ,2010,46.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CZ,2011,47.7,b
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CZ,2012,49.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CZ,2013,51.6,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CZ,2014,54.0,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CZ,2015,55.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CZ,2016,58.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CZ,2017,62.1,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CZ,2018,65.1,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CZ,2019,66.7,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,CZ,2020,68.2,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DE,2009,55.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DE,2010,57.0,b
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DE,2011,59.2,b
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DE,2012,60.7,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DE,2013,62.7,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DE,2014,64.6,
